threshold,phishing_precision,phishing_recall,phishing_f1,legitimate_recall,false_positives,false_negatives,true_positives,true_negatives
0.3,0.9167213114754098,0.9207060063224447,0.9187093382401261,0.9757827695358682,1905,1806,20970,76758
0.4,0.9399474193994742,0.8947576396206534,0.9167960051285512,0.9834483810686091,1302,2397,20379,77361
0.5,0.9583774930147413,0.8734632946961715,0.9139523131345615,0.989016437206819,864,2882,19894,77799
0.6,0.969768256669503,0.8506761503336846,0.9063267454098936,0.9923216760103225,604,3401,19375,78059
0.7,0.9778459618284883,0.825561995082543,0.8952743720985596,0.9945844933450287,426,3973,18803,78237
