Feature,Bad Mean,Good Mean,Bad Median,Good Median,Bad Std,Good Std,Corr,Signal
dot_count,3.0086090745244887,1.7818608486724221,2.0,2.0,2.5907697808127796,0.8397446128989637,0.33639582325910605,Strong Potential Signal
brand_domain_mismatch,0.10367635479185988,0.0015067600586414725,0.0,0.0,0.30484156751477837,0.03878780171662715,0.2759566805352991,Strong Potential Signal
digit_count,10.283172059003657,3.133847124938915,2.0,0.0,21.19620393272509,4.760733962358516,0.2643079524555624,Strong Potential Signal
excessive_digits,0.2521741412798124,0.06635089183906173,0.0,0.0,0.4342625860953009,0.24889477427819814,0.2499133108309592,Moderate Potential Signal
unusually_long_url,0.18019562896988572,0.033143630884508876,0.0,0.0,0.3843519958808452,0.17901176547328984,0.2469723136384583,Moderate Potential Signal
url_length,71.0565714185725,45.76833055057827,47.0,40.0,74.59095967654594,24.64128841608955,0.24659762236764773,Moderate Potential Signal
query_length,20.753941451293986,2.9706232692620946,0.0,0.0,61.63805604291238,12.105330721973333,0.23209096192760137,Moderate Potential Signal
brand_in_path,0.06668533132688235,0.0015347572894608243,0.0,0.0,0.24947733853982706,0.03914595393915669,0.2155120858391328,Moderate Potential Signal
letter_count,51.66756198708639,36.15834470190585,37.0,32.0,51.53056814785916,18.79821996836952,0.2143238766378158,Moderate Potential Signal
hostname_dot_count,1.9331309384241193,1.3937174214041375,1.0,1.0,1.9213926557666954,0.5875513075307869,0.2101490799853455,Moderate Potential Signal
hostname_length,21.725043307844405,15.83223295732204,17.0,15.0,22.116021771476802,5.734742518454231,0.20678892147696437,Moderate Potential Signal
hostname_digit_count,1.9193249225708235,0.08329430689037302,0.0,0.0,7.678608739888605,0.47365630836939837,0.2046622014312691,Moderate Potential Signal
slash_count,3.0830810687851056,2.3259844844437203,3.0,2.0,2.2102475836542648,1.3258567140412867,0.19760002149849232,Moderate Potential Signal
query_digit_count,4.35057481320758,0.6166059211597981,0.0,0.0,15.690986621019615,2.7032433193762095,0.19565990479575546,Moderate Potential Signal
special_character_count,9.105837372482458,6.4761387237335075,6.0,5.0,8.983419543304972,4.080822422866101,0.19334408166953723,Moderate Potential Signal
excessive_subdomains,0.06348317555862745,0.0038203494054406253,0.0,0.0,0.24383105245752879,0.06169087470851931,0.19137232323483264,Moderate Potential Signal
digit_ratio,0.10568530085841461,0.05929008405665989,0.038461538461538464,0.0,0.14611609058103903,0.08352279237603591,0.18836033911473304,Moderate Potential Signal
brand_in_subdomain,0.043089117919823616,8.399169245805506e-05,0.0,0.0,0.20305862844260605,0.009164324940339728,0.18262959878362225,Moderate Potential Signal
subdomain_length,6.9464907522441335,2.232695166150839,0.0,0.0,21.48306527583666,4.3237346575921425,0.17804322017316995,Moderate Potential Signal
hostname_hyphen_count,0.2727869254055189,0.06154809415214204,0.0,0.0,0.8788567975053573,0.2942741823707776,0.17689614043107876,Moderate Potential Signal
unusually_long_hostname,0.09990551015765806,0.0197965873920834,0.0,0.0,0.2998752840075295,0.13930086829840302,0.17539360415884583,Moderate Potential Signal
subdomain_count,0.7882902587971793,0.3666491896074279,0.0,0.0,1.8959131603683743,0.559598710765194,0.1692328187887466,Moderate Potential Signal
equals_count,0.5689863339690984,0.19494726339794755,0.0,0.0,1.4490858804585,0.700108452614709,0.16684825759634334,Moderate Potential Signal
path_hyphen_count,0.2978442317450874,1.225538055872292,0.0,0.0,0.9725647131703699,2.646527720680349,-0.16109558322251857,Moderate Potential Signal
query_parameter_count,0.5592923760695725,0.19420915458543736,0.0,0.0,1.529516228583424,0.6897597405229219,0.1591166035474585,Moderate Potential Signal
ip_address_host,0.03197781238516859,6.617527284574035e-05,0.0,0.0,0.17594175948808194,0.008134559735952326,0.15707929783722224,Moderate Potential Signal
hostname_has_ip,0.03197781238516859,6.617527284574035e-05,0.0,0.0,0.17594175948808194,0.008134559735952326,0.15707929783722224,Moderate Potential Signal
excessive_special_characters,0.2568111428021488,0.12684018162567193,0.0,0.0,0.43687624058505153,0.3327942785524118,0.1496062834120463,Moderate Potential Signal
question_mark_count,0.29361843601812804,0.12662129418472065,0.0,0.0,0.7516436360788971,0.3377884135377516,0.14856525681127702,Moderate Potential Signal
ampersand_count,0.34084585907014997,0.06964947467014172,0.0,0.0,1.3403970273231258,0.5021062855749774,0.1447210874146402,Moderate Potential Signal
has_query,0.23882307651927417,0.12608934679915296,0.0,0.0,0.42636628046429953,0.3319504539560418,0.13137488809159334,Moderate Potential Signal
path_segment_count,2.5083903480375858,2.0270784126079167,2.0,2.0,1.9950472233549932,1.3989785555589722,0.1283865874122952,Moderate Potential Signal
hostname_multiple_hyphens,0.04757738543106616,0.008243911874898192,0.0,0.0,0.21287126222911312,0.09042107387882753,0.12673472737510225,Moderate Potential Signal
deep_path,0.23809690458275734,0.13446560921974263,0.0,0.0,0.4259205979561927,0.3411523199101735,0.11876603136945592,Moderate Potential Signal
brand_token_present,0.12714133230677702,0.054805851930281806,0.0,0.0,0.3331326835868488,0.22760119149917243,0.11759709731507074,Moderate Potential Signal
path_digit_count,3.9188874695970184,2.4313940584785794,0.0,0.0,9.546306721340263,4.218023504461375,0.10549732181925502,Moderate Potential Signal
hyphen_count,0.7189102171516562,1.332268590161264,0.0,0.0,1.5708425669180321,2.6888079453479534,-0.10273705356989624,Moderate Potential Signal
domain_length,14.38145024409876,13.269333360482163,14.0,12.0,5.239808687304514,4.526150248861769,0.09845784006582393,Weak Potential Signal
has_port,0.013219828868396647,0.0003563283922462942,0.0,0.0,0.11421549424721239,0.018873323208442625,0.09435495218465184,Weak Potential Signal
